file,key,field,original,korean,status
Conversations.xml,conv:BaseConversation/choice:GainMutationChoice,text,Would you teach me your ways?,당신의 길을 제게도 가르쳐 주시겠습니까?,done
Conversations.xml,conv:BaseConversation/choice:RandomMentalMutationChoice,text,Teach me a secret of the aggregate mind.,집합정신의 비밀 하나를 가르쳐 주십시오.,done
Conversations.xml,conv:BaseConversation/choice:CookingRecipeChoice,text,Would you share the favorite dish of your people?,당신네 사람들이 가장 즐겨 먹는 요리를 나눠 주시겠습니까?,done
Conversations.xml,conv:BaseConversation/choice:ChefRecipeChoice,text,Teach me to cook one of your signature dishes.,당신의 대표 요리 하나를 만드는 법을 가르쳐 주십시오.,done
Conversations.xml,conv:BaseConversation/choice:JoinPartyChoice,text,"I would ask you to join me, =subject.waterRitualLiquid=-=pronouns.siblingTerm=.","함께해 주시길 청합니다, =subject.waterRitualLiquid=-=pronouns.siblingTerm=.",done
Conversations.xml,conv:BaseConversation/choice:EndChoice,text,"Live and drink, =subject.waterRitualLiquid=-=pronouns.siblingTerm=.","살고 마시게, =subject.waterRitualLiquid=-=pronouns.siblingTerm=.",done
Conversations.xml,conv:BaseConversation/choice:Trade,text,Let's trade.,거래합시다.,done
Conversations.xml,conv:BaseConversation/part:WaterRitualRandomMutation,part_text,"=subject.T= =verb:grab= your hand and you close your eyes. You find =player.reflexive= in a darkling thicket. =subject.T= =verb:tug= you over roots of braided nether, until finally you stumble into a glade. Others are here. You take their hands as =subject.t= took yours.

          After a moment or an eon, you awaken knowing =mutation.name=.","=subject.T= =verb:grab= 당신의 손을 붙잡고, 당신은 눈을 감는다. 당신은 어스름한 수풀 속에서 =player.reflexive= 발견한다. =subject.T= =verb:tug= 당신을 뒤엉킨 저편의 뿌리들 위로 이끌고 가더니, 마침내 당신은 빈터로 비틀거리며 들어선다. 다른 이들도 여기에 있다. 당신은 =subject.t= 당신의 손을 잡았듯 그들의 손을 잡는다.

          잠깐의 순간인지, 한 세월인지가 지나고, 당신은 깨어나 =mutation.name=을(를) 알게 된다.",done
Conversations.xml,conv:BaseSlynthMayor/node:SlynthRequestAccept,text,BASE SLYNTH REQUEST ACCEPT TEXT,BASE SLYNTH REQUEST ACCEPT TEXT,done
Conversations.xml,conv:BaseSlynthMayor/node:SlynthRequestReject,text,BASE SLYNTH REQUEST REJECT TEXT,BASE SLYNTH REQUEST REJECT TEXT,done
Conversations.xml,conv:BaseSlynthMayor/node:SlynthRequest,text,BASE SLYNTH REQUEST TEXT,BASE SLYNTH REQUEST TEXT,done
Conversations.xml,conv:BaseSlynthMayor/node:SlynthAbout,text,BASE SLYNTH ABOUT TEXT,BASE SLYNTH ABOUT TEXT,done
Conversations.xml,conv:BaseSlynthMayor/node:SlynthArrived,text,BASE SLYNTH ARRIVED TEXT,BASE SLYNTH ARRIVED TEXT,done
Conversations.xml,conv:BaseSlynthMayor/node:SlynthSettled,text,BASE SLYNTH SETTLED TEXT,BASE SLYNTH SETTLED TEXT,done
Conversations.xml,conv:BaseSlynthMayor/choice:?,text,"You have my thanks, friend.","감사합니다, 친구여.",done
Conversations.xml,conv:BaseSlynthMayor/choiceinline:Start,choice_inline,I want to ask something else.,다른 것을 여쭤보고 싶습니다.,done
Conversations.xml,conv:BaseSlynthMayor/choiceinline:Start#1,choice_inline,I understand.,알겠습니다.,done
Conversations.xml,conv:BaseSlynthMayor/choiceinline:SlynthRequestAccept,choice_inline,I am.,그렇습니다.,done
Conversations.xml,conv:BaseSlynthMayor/choiceinline:SlynthRequestReject,choice_inline,"If you would have them, yes.","당신이 원하신다면, 네.",done
Conversations.xml,conv:BaseSlynthMayor/choiceinline:Start#2,choice_inline,They are not ready to choose yet.,그들은 아직 선택할 준비가 되지 않았습니다.,done
Conversations.xml,conv:BaseSlynthMayor/choiceinline:Start#3,choice_inline,My thanks.,감사합니다.,done
Conversations.xml,conv:BaseSlynthMayor/choiceinline:Start#4,choice_inline,My thanks again.,다시 한번 감사합니다.,done
Conversations.xml,conv:BaseSlynthMayor/choice:?#1,text,"In my travels I encountered a people, the slynth, seeking a new home.",여행 중에 새 고향을 찾는 슬린스라는 종족을 만났습니다.,done
Conversations.xml,conv:BaseSlynthMayor/choice:?#2,text,About the slynth...,슬린스에 대해서...,done
Conversations.xml,conv:BaseSlynthMayor/choice:?#3,text,I see the slynth have arrived. How are they faring?,"슬린스가 도착한 것 같은데, 잘 지내고 있습니까?",done
Conversations.xml,conv:BaseSlynthMayor/choice:?#4,text,It's been a week. Are the slynth settled in?,일주일이 지났군요. 슬린스는 정착했습니까?,done
Conversations.xml,conv:JoppaFarmerConvert/node:SpeakNoMore,text,"There are no more words for us, wanderer.","더 이상 우리 사이에 나눌 말은 없네, 방랑자여.",done
Conversations.xml,conv:JoppaFarmerConvert/node:FinishedPilgrimageQuest,text,"=name=! Live and drink, pilgrim.","=name=! 살고 마시게, 순례자여.",done
Conversations.xml,conv:JoppaFarmerConvert/node:HasPilgrimageQuest,text,"Wanderer and =pronouns.formalAddressTerm=! Have you journeyed yet to the Stilt, and seen the Sacred Well?",방랑자이자 =pronouns.formalAddressTerm=(이)여! Stilt로 떠나 신성한 우물을 보았는가?,done
Conversations.xml,conv:JoppaFarmerConvert/node:Welcome,text,Wanderer! Do you venture northwise? Into the Great Desert and nearer the Six Day Stilt?,"방랑자여! 북쪽으로 모험을 떠나겠나? 대사막 속으로, 더 나아가 Six Day Stilt로?",done
Conversations.xml,conv:JoppaFarmerConvert/node:Stilted,text,"Ah!

				Tell me, =pronouns.formalAddressTerm=, was it the picture of wonder as I see it in my mind's eye? Were you beauty-struck by its truths?","아!

				말해보게, =pronouns.formalAddressTerm=, 내가 마음속에서 보았던 형상처럼 경이로운 광경이었나? 그 진실의 아름다움에 넋을 잃었나?",done
Conversations.xml,conv:JoppaFarmerConvert/node:Ohh,text,"So it's true! O Argent Fathers, how far-reaching your works!

				... and my trinket? Did you cast it into the Sacred Well?","과연 그랬구려! 오, Argent Fathers, 그대들의 업적은 어디까지 미쳐있는가!

				... 그런데 내 장신구는? 그걸 성스러운 우물에 던졌나?",done
Conversations.xml,conv:JoppaFarmerConvert/node:Well,text,"Moon and Sun! The Argent Fathers bless us, our paths are chromed and glistering.

				You have my thanks, =pronouns.formalAddressTerm=. Bel shield you.","달과 태양이여! Argent Fathers께서 우리를 축복하시고, 우리의 길은 크롬으로 입혀져 눈부시게 빛나는구나.

				감사를 표하겠소, =pronouns.formalAddressTerm=. Bel의 가호가 함께하길.",done
Conversations.xml,conv:JoppaFarmerConvert/node:Lost,text,"Oh, I am leaden with this knowledge. Yet am I soothed by your pilgrimage.

				Moon and Sun, I feel the warmth of the Kasaphescence yet. Praise the Argent Fathers.","오, 모르는게 약이었을 터인데. 그럼에도 자네의 순례는 내 마음을 달래준다네.

				달과 태양이여, 카사페센스의 온기가 아직 느껴진다. Argent Fathers를 찬미하라.",done
Conversations.xml,conv:JoppaFarmerConvert/node:Flipped,text,"Oh, how your words rasp my soul, =player.formalAddressTerm=. You abrade me.

				Let us speak no more.","오, 당신의 말이 영혼을 사포처럼 긁어내는군, =player.formalAddressTerm=. 상처 받았소.

				더 이상 이야기 하고 싶지 않네.",done
Conversations.xml,conv:JoppaFarmerConvert/node:Glorious,text,"So you have seen the truth? Great are the machinations of our Argent Fathers!

				Our meeting, a tiny Canticle. Fate dances in our shadows by their will and word.

				Moon and sun, what a day! What a fine day. Praise Shekhinah!","그렇다면 진실을 보았군? Argent Fathers의 위대한 설계여!

				우리의 만남은 작은 찬가 하나. 그들의 뜻과 말로 운명이 우리 그림자 속에서 춤추는군.

				달과 태양이여, 최고의 날일세! 참으로 좋은 날이야. Shekhinah를 찬미하라!",done
Conversations.xml,conv:JoppaFarmerConvert/node:ShakyNah,text,"Wh-

				My heart's sheen wanes to hear this of you. You abrade me, =player.formalAddressTerm=, I am scuffed.

				What of my trinket, then? Did you cast it into the... ""hole in the ground?""","윽-

				그런 말을 듣자니, 내 마음의 광택이 바래는군. 당신은 나를 긁어놓았고, =player.formalAddressTerm=, 상처 입혔소.

				그럼 내 장신구는 어찌했는가? 그걸… ""땅에 난 구멍""에 던지긴 했나?",done
Conversations.xml,conv:JoppaFarmerConvert/node:InTheHole,text,"Well... the light of the Kasaphescence yet glimmers through your rasping edge.

				I must, then, thank you.","흠… 그래도 카사페센스의 빛이, 자네의 거친 모서리 너머로 아직은 희미하게 비치고 있군.

				그러니, 감사해야만 하겠지.",done
Conversations.xml,conv:JoppaFarmerConvert/node:LostIt,text,"My stomach lurches and quavers at the shock of this knowledge.

				If there is a lesson in your disregard, I will meditate upon it in my own time.

				Let us speak no more.","그 말에 충격으로 내장이 뒤틀리고 떨리는군.

				당신의 무심함 속에 배울 것이 있다면, 시간이 날 때 곱씹어 보겠소.

				더 할말은 없네.",done
Conversations.xml,conv:JoppaFarmerConvert/node:LosingIt,text,"Ah, a pit opens under my stomach!

				Let us speak no more, I beg you. You scuff me. Live and drink.","아, 배속에 구멍이 생긴 느낌이네!

				부탁인데, 더 이상 말 걸지 말아주게. 당신이 날 긁었소. 살고 마시게.",done
Conversations.xml,conv:JoppaFarmerConvert/node:Stilt,text,"Ah! The great Mechanimist temple of glass, the sacred offering Well, and history in stone relief. Peopled by the Argent Fathers, in statue and light sculpture. And circled by the grand bazaar. I hear there are more people there than numbers in the void, and their chatter makes a sound wholly raw and new to the world.

				Will you go there, and take my bauble? Will you offer it at the Well, where I cannot?","아! 유리로 된 거대한 Mechanimist 신전과 성스러운 봉헌의 우물, 돌에 새겨진 역사. 조각과 빛의 형상 속 Argent Fathers들의 사람들. 그리고 거대한 시장에 둘러쌓여있지. 허공의 수보다 많은 사람들이 모여 있고, 그들의 수다는 세상에 없던 새로운 소리를 만든다더군.

				내 장신구를 가지고 그곳에 가 주겠나? 내가 갈수 없는 곳에서 그것을 우물에 바쳐줄 수 있겠는가?",done
Conversations.xml,conv:JoppaFarmerConvert/node:Bauble,text,"Yes! My neighbor-kin tire of the tale. I was scything the vine when the flat of my blade turned something loose from the soil. My heart has stirred before at the sight of chrome, but to free a small splinter myself, to slide a bead on the abacus of Beauty...
        
        Will you go, then? And offer my bauble at the Well?","그렇소! 내 이웃 동족들은 이 이야기에 질렸지. 덩굴을 베던 중, 칼날로 흙에서 무언갈 파냈소. 크롬을 보고 가슴이 움직인 적은 전에도 있었지만, 이렇게 작은 파편을 내 손으로 직접 해방시키다니, 아름다움의 주판에 구슬 하나를 팅긴 느낌이었다오...
        
        그곳에 가 줄수 있는가? 그리고 나의 장신구를 우물에 바쳐주겠는가?",done
Conversations.xml,conv:JoppaFarmerConvert/node:Fathers,text,"I am no rector, understand, but They are the molders of chrome. The gods under Shekhinah who wrought metal edifices from the raw Kasaphescence.

				Will you go?","난 성직자는 아닐세, 이해하게, 하지만 그분들은 크롬을 빚는 자들이야. Shekhinah 아래의 신들로, 원초의 카사페센스에서 금속의 전당들을 만들어낸 존재들이라네.

				당신이 가 주겠나?",done
Conversations.xml,conv:JoppaFarmerConvert/node:Why,text,"I would ask you make an offering at the sacred Well of my bauble. Moon and sun, I beg you!","내 장신구를 가져가 신성한 우물에 던져주길 원하네. 달과 태양이여, 간청하네!",done
Conversations.xml,conv:JoppaFarmerConvert/node:WhyNot,text,"Friend, I would be a smoldering heap, cooked to death by the ray of a dawnglider! I would be a slug-riddled corpse by the rifles of the Issachari!

				There is no kindness in the Great Desert, and little more in the canyons. I cannot go and live.","친구여, 내가 간다면 dawnglider의 광선에 타 죽어 재만 남을 것이오. 아니면 Issachari의 소총에 맞아 구멍투성이 시체가 될게 뻔하네!

				대사막엔 자비가 없고, 협곡도 크게 다르지 않소. 나는 살아서 돌아올 수 없을걸세.",done
Conversations.xml,conv:JoppaFarmerConvert/node:Agree,text,"Moon and sun, =pronouns.formalAddressTerm=! You have my deep and many-sided thanks. Here, take the trinket now. And if you're to ever return, let us visit again.

				Live and drink!","달과 태양이여, =pronouns.formalAddressTerm=! 진심으로, 여러 방면의 감사를 전하네. 여기, 장신구를 받게나. 훗날 다시 오게 된다면 또 만날 수 있길.

				살고 마시게!",done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End,choice_inline,Live and drink.,살고 마시게.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Stilted,choice_inline,I have visited the Six Day Stilt.,Six Day Stilt에 다녀왔습니다.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#1,choice_inline,Live and drink.,살고 마시게.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Ohh,choice_inline,Truly breathtaking. How the glass glittered in the sun!,정말 숨막히는 광경이었습니다. 유리가 햇살 아래 얼마나 빛나던지!,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Glorious,choice_inline,To behold the Argent Fathers in simulacra... what revelation!,시뮬라크라 속 Argent Fathers를 바라보다니... 얼마나 놀라운 계시입니까!,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:ShakyNah,choice_inline,I saw only empty spectacle. Who can worship a hole in the ground?,그저 공허한 구경거리일 뿐이었습니다. 땅의 구멍을 숭배할 수 있는 자가 있겠습니까?,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Well,choice_inline,I did.,그렇게 했습니다.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Lost,choice_inline,"Sadly, it was lost.","안타깝게도, 잃어버렸습니다.",done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Flipped,choice_inline,"No, I took it apart or sold it or something.","아니요, 분해하거나 팔거나 했습니다.",done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#2,choice_inline,And you as well.,당신도 마찬가지입니다.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#3,choice_inline,Live and drink.,살고 마시게.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#4,choice_inline,Very well.,알겠습니다.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#5,choice_inline,Praise Shekhinah!,Shekhinah를 찬양합니다!,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:InTheHole,choice_inline,"Yes, I threw it in the hole.","네, 구멍에 던졌습니다.",done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:LostIt,choice_inline,"No, I lost it.","아니요, 잃어버렸습니다.",done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:LosingIt,choice_inline,"I gave it to someone. Or sold it, perhaps.",누군가에게 주었습니다. 아니면 팔았을 수도 있습니다.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#6,choice_inline,You're welcome.,천만에요.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#7,choice_inline,As you say.,말씀대로 하겠습니다.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#8,choice_inline,Live and drink.,살고 마시게.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#9,choice_inline,"Not yet, friend. Live and drink.","아직은 아닙니다, 친구. 살고 마시게.",done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Stilt,choice_inline,What is the Six Day Stilt?,Six Day Stilt는 무엇입니까?,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Why,choice_inline,Why do you ask?,왜 묻는 것입니까?,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#10,choice_inline,Live and drink.,살고 마시게.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Bauble,choice_inline,Your bauble?,당신의 장신구 말입니까?,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Fathers,choice_inline,Argent Fathers?,Argent Fathers라고요?,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:WhyNot,choice_inline,Why can you not go?,왜 가실 수 없는 것입니까?,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Agree,choice_inline,I will make the journey.,제가 여정을 떠나겠습니다.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#11,choice_inline,I cannot commit to this. Live and drink.,이것을 약속할 수 없습니다. 살고 마시게.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:WhyNot#1,choice_inline,Why can you not go?,왜 가실 수 없는 것입니까?,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Stilt#1,choice_inline,What is the Six Day Stilt again?,"다시 한번, Six Day Stilt는 무엇입니까?",done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Agree#1,choice_inline,I will make the journey.,제가 여정을 떠나겠습니다.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#12,choice_inline,I cannot commit to this. Live and drink.,이것을 약속할 수 없습니다. 살고 마시게.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Why#1,choice_inline,Perhaps. Why?,아마도요. 왜 그러십니까?,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#13,choice_inline,I cannot commit to this. Live and drink.,이것을 약속할 수 없습니다. 살고 마시게.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:WhyNot#2,choice_inline,Why can you not go?,왜 가실 수 없는 것입니까?,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Stilt#2,choice_inline,What is the Six Day Stilt?,Six Day Stilt는 무엇입니까?,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Agree#2,choice_inline,I will make the journey.,제가 여정을 떠나겠습니다.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#14,choice_inline,I cannot commit to this. Live and drink.,이것을 약속할 수 없습니다. 살고 마시게.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Stilt#3,choice_inline,What is the Six Day Stilt again?,"다시 한번, Six Day Stilt는 무엇입니까?",done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:Agree#3,choice_inline,I will make the journey.,제가 여정을 떠나겠습니다.,done
Conversations.xml,conv:JoppaFarmerConvert/choiceinline:End#15,choice_inline,I cannot commit to this. Live and drink.,이것을 약속할 수 없습니다. 살고 마시게.,done
Conversations.xml,conv:JoppaFarmerConvert/choice:GiveTrinket,text,Live and drink.,살고 마시게.,done
Conversations.xml,conv:WatervineFarmerConvert/node:Bauble,text,"Yes! My neighbor-kin tire of the tale. I was scything the vine when the flat of my blade turned it loose from the soil. My heart has stirred before at the sight of chrome, but to free a small splinter myself, to slide a bead toward the beam on the abacus of Beauty...

        Will you go, then? And offer my bauble at the Well?","그렇소! 이 이야기는 이웃들마저도 지겨워하오. 덩굴을 베던 중 칼날의 납작한 면이 흙 속에서 그것을 툭 건드려 빼냈지. 나는 크롬을 보는 것만으로도 가슴이 들썩이곤 했소. 하지만 내 손으로 작은 파편을 꺼내어, 아름다움의 주판에서 구슬 하나를 대들보 쪽으로 미는 일이라니...

        그럼 가 주겠소? 그리고 내 장신구를 그 우물에 바쳐 주겠소?",done
Conversations.xml,conv:WatervineFarmerConvert/choice:GiveTrinket,text,Live and drink.,살고 마시게.,done
Conversations.xml,conv:CannibalConvert/node:Bauble,text,"Yes! My neighbor-kin tire of the tale. I was supping on summer offal when I noticed something glinting in the guts. My heart has stirred before at the sight of chrome, but to free a small splinter myself, to slide a bead on the abacus of Beauty...

        Will you go, then? And offer my bauble at the Well?","그렇소! 이 이야기는 이웃들마저도 지겨워하오. 여름 내장탕을 떠먹다가, 창자 속에서 무언가 번뜩이는 걸 보았소. 나는 크롬을 보는 것만으로도 가슴이 들썩이곤 했소. 하지만 내 손으로 작은 파편을 꺼내어, 아름다움의 주판에 구슬 하나를 끼워 넣는 일이라니...

        그럼 가 주겠소? 그리고 내 장신구를 그 우물에 바쳐 주겠소?",done
Conversations.xml,conv:CannibalConvert/node:WhyNot,text,"Friend, I would be a smoldering heap, cooked to death by the ray of a dawnglider! I would be a slug-riddled corpse by the rifles of the Issachari!

        There is no kindness in the Great Desert. I cannot go and live.","친구여, 나는 dawnglider의 광선에 구워져 시꺼멓게 타는 잿더미가 되고 말 거요! Issachari의 소총에 벌집이 난 시체가 되고 말 거요!

        Great Desert에는 자비가 없소. 나는 가서 살아 돌아올 수 없소.",done
Conversations.xml,conv:IssachariConvert/node:Bauble,text,"Yes! My neighbor-kin tire of the tale. I was wrenching moisture from a banner when I kicked something 'neath the salt. My heart has stirred before at the sight of chrome, but to free a small splinter myself, to slide a bead on the abacus of Beauty...

        Will you go, then? And offer my bauble at the Well?","그렇소! 이 이야기는 이웃들마저도 지겨워하오. 깃발천에서 수분을 짜내다가, 소금 아래에 있는 무언가를 발로 걷어찼지. 나는 크롬을 보는 것만으로도 가슴이 들썩이곤 했소. 하지만 내 손으로 작은 파편을 꺼내어, 아름다움의 주판에 구슬 하나를 끼워 넣는 일이라니...

        그럼 가 주겠소? 그리고 내 장신구를 그 우물에 바쳐 주겠소?",done
Conversations.xml,conv:IssachariConvert/node:WhyNot,text,"Friend, I would be a smoldering heap, cooked to death by the ray of a dawnglider! I would be a slug-riddled corpse by the rifles of my kinsfolk!

        There is no kindness deep in the Great Desert. I cannot go and live.","친구여, 나는 dawnglider의 광선에 구워져 시꺼멓게 타는 잿더미가 되고 말 거요! 내 동족의 소총에 벌집이 난 시체가 되고 말 거요!

        Great Desert 깊숙한 곳에는 자비가 없소. 나는 가서 살아 돌아올 수 없소.",done
Conversations.xml,conv:PigFarmerConvert/node:Bauble,text,"Yes! My neighbor-kin tire of the tale. I fished it out a mound of pig stool. My heart has stirred before at the sight of chrome, but to free a small splinter myself, to slide a bead on the abacus of Beauty...

        Will you go, then? And offer my bauble at the Well?","그렇소! 이 이야기는 이웃들마저도 지겨워하오. 돼지 똥무더기에서 건져 올렸소. 나는 크롬을 보는 것만으로도 가슴이 들썩이곤 했소. 하지만 내 손으로 작은 파편을 꺼내어, 아름다움의 주판에 구슬 하나를 끼워 넣는 일이라니...

        그럼 가 주겠소? 그리고 내 장신구를 그 우물에 바쳐 주겠소?",done
Conversations.xml,conv:PigFarmerConvert/node:WhyNot,text,"Friend, I would be a smoldering heap, cooked to death by the ray of a dawnglider! I would be a slug-riddled corpse by the rifles of the Issachari!

        There is no kindness in the Great Desert. I cannot go and live.","친구여, 나는 dawnglider의 광선에 구워져 시꺼멓게 타는 잿더미가 되고 말 거요! Issachari의 소총에 벌집이 난 시체가 되고 말 거요!

        Great Desert에는 자비가 없소. 나는 가서 살아 돌아올 수 없소.",done
Conversations.xml,conv:Irudad/node:Welcome,text,"-mm. Mmm? =player.FormalAddressTerm=?

				{{emote|*Elder Irudad smiles.*}}

				Live and drink. Come in- come sit 'neath the cool shade, 'cross a pillow there. And welcome to Joppa.

				You may drink of our freshwater, too, and quench your thirst.","-음. 으음? =player.FormalAddressTerm=?

				{{emote|*Elder Irudad가 미소짓는다.*}}

				살고 마시게. 들어 와서 그늘 밑 방석에 좀 앉게나. Joppa에 온걸 환영하네.

				맑은 물도 맘껏 마시면서 갈증도 해소하게나.",done
Conversations.xml,conv:Irudad/node:Start,text,"-mm. Mmm? =player.FormalAddressTerm=.~
				{{emote|*Elder Irudad smiles.*}}~
				{{emote|*Elder Irudad smiles.*}}

				Come in- come sit 'neath the cool shade, 'cross a pillow there.~
				{{emote|*Elder Irudad smiles.*}}

				Live and drink, =name=. Come, sit with me.","-음. 음? =player.FormalAddressTerm=.~
				{{emote|*Elder Irudad가 미소짓는다.*}}~
				{{emote|*Elder Irudad가 미소짓는다.*}}

				들어와서 그늘 밑 방석에 좀 앉게나.~
				{{emote|*Elder Irudad가 미소짓는다.*}}

				살고 마시게, =name=. 이리 와서 내 옆에 앉게나.",done
Conversations.xml,conv:Irudad/node:Joppa,text,"-this? The oasis-hamlet. 'Neath the shelf of the world. A million breaths of salt the wind heaves over the Great Salt Desert Moghra'yi. And to the east, the rotting jungles of Qud.

				Here in the crack between the two, watervine can grow, and we grow it. mmm, =player.formalAddressTerm=.","-이곳 말인가? 오아시스 촌락이지. 세계의 선반 아래에 자리한 곳이네. 소금의 숨결을 백만번 쯤 토해낸 바람이 대소금사막 모그라'이를 넘어 불어오지. 동쪽에는 커드의 썩어가는 정글이 있고.

				그 틈에서 watervine이 자랄 수 있기에, 우리가 그것을 기르고 있지. 으음, =player.formalAddressTerm=(이)여.",done
